provinceofresidence,districtofresidence,epiyear,semaine_epi,case_count,epidemic,Igm+
ADAMAOUA,BANKIM,2008,51,1,True,0
ADAMAOUA,BANKIM,2011,19,1,True,0
ADAMAOUA,BANKIM,2011,21,1,True,0
ADAMAOUA,BANKIM,2013,3,1,True,1
ADAMAOUA,BANKIM,2013,9,2,True,1
ADAMAOUA,BANKIM,2013,10,1,True,1
ADAMAOUA,BANKIM,2014,3,1,True,0
ADAMAOUA,BANKIM,2014,4,1,True,0
ADAMAOUA,BANKIM,2014,5,1,True,0
ADAMAOUA,BANKIM,2014,9,1,True,0
ADAMAOUA,BANKIM,2014,14,2,True,0
ADAMAOUA,BANKIM,2014,15,1,True,1
ADAMAOUA,BANKIM,2014,16,2,True,1
ADAMAOUA,BANKIM,2014,18,1,True,0
ADAMAOUA,BANKIM,2014,19,3,True,0
ADAMAOUA,BANKIM,2014,20,5,True,0
ADAMAOUA,BANKIM,2014,21,6,True,0
ADAMAOUA,BANKIM,2014,22,2,True,0
ADAMAOUA,BANKIM,2014,44,1,True,0
ADAMAOUA,BANKIM,2014,45,2,True,0
ADAMAOUA,BANKIM,2014,46,1,True,0
ADAMAOUA,BANKIM,2014,47,1,True,0
ADAMAOUA,BANKIM,2015,1,2,True,0
ADAMAOUA,BANKIM,2015,2,6,True,0
ADAMAOUA,BANKIM,2015,3,3,True,0
ADAMAOUA,BANKIM,2015,4,6,True,0
ADAMAOUA,BANKIM,2015,5,6,True,0
ADAMAOUA,BANKIM,2015,6,1,True,0
ADAMAOUA,BANKIM,2015,7,1,True,0
ADAMAOUA,BANKIM,2015,8,4,True,0
ADAMAOUA,BANKIM,2015,9,4,True,0
ADAMAOUA,BANKIM,2015,10,5,True,0
ADAMAOUA,BANKIM,2015,11,2,True,0
ADAMAOUA,BANKIM,2015,12,1,True,0
ADAMAOUA,BANKIM,2015,13,1,True,0
ADAMAOUA,BANKIM,2015,14,1,True,1
ADAMAOUA,BANKIM,2015,16,1,True,0
ADAMAOUA,BANKIM,2015,17,2,True,0
ADAMAOUA,BANKIM,2016,19,1,True,0
